42,Brian Helgeland,128,4/12/2013
300,Zack Snyder,117,12/9/2006
360,Fernando Meirelles,110,9/9/2011
1408,Mikael Håfström,104,6/12/2007
1900,Bernardo Bertolucci,317,5/21/1976
1911,Li Zhang  Jackie Chan,121,9/23/2011
1984,Michael Anderson,90,3/6/1956
2012,Roland Emmerich,158,11/11/2009
45365,Bill Ross IV  Turner Ross,90,2009-03
¡Cuatro!,Tim Wheeler,75,
'I Know Where I'm Going!',Michael Powell  Emeric Pressburger,91,11/16/1945
(500) Days of Summer,Marc Webb,95,1/17/2009
*batteries not included,Matthew Robbins,106,12/18/1987
100 Cameras,,15,2000
100 Feet,Eric Red,96,7/24/2008
11:14,Greg Marcks,86,5/16/2003
12 Angry Men,Sidney Lumet,96,4/10/1957
127 Hours,Danny Boyle,94,9/4/2010
13 Ghosts,William Castle,85,1960-07
13 Going on 30,Gary Winick,98,4/14/2004
17 Again,Burr Steers,102,3/11/2009
2 Days in the Valley,John Herzfeld,104,9/12/1996
2 or 3 Things I Know About Her,Jean-Luc Godard,87,3/17/1967
20 Centimeters,RamÃ³n Salazar,112,4/29/2005
2001: A Space Odyssey,Stanley Kubrick,160,4/2/1968
21 Grams,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,124,9/5/2003
25th Hour,Spike Lee,135,12/16/2002
28 Days Later...,Danny Boyle,113,11/1/2002
3 hommes et un couffin,Catherine Breillat,106,31308
3:10 to Yuma,James Mangold,122,8/21/2007
30 Days of Night,David Slade,113,10/16/2007
35 Shots of Rum,Claire Denis,100,
4 Little Girls,Spike Lee,102,7/9/1997
42nd Street,Lloyd Bacon,89,3/8/1933
47 Ronin,Carl Rinsch,118,
49 Up,Michael Apted  Paul Almond,180,9/15/2005
50 First Dates,Peter Segal,99,2/13/2004
8 Mile,Curtis Hanson,110,9/8/2002
8 Women,FranÃ§ois Ozon,111,1/8/2002
8½,Federico Fellini,138,2/14/1963
A Beautiful Mind,Ron Howard,135,12/13/2001
A Boy and His Dog,L.Q. Jones,91,1975-03
A Brief History of Time,Errol Morris,80,1991-10
A Bug's Life,John Lasseter  Andrew Stanton,95,11/14/1998
A Chinese Ghost Story,Siu-Tung Ching,98,7/18/1987
A Christmas Story,Bob Clark,94,11/18/1983
A City of Sadness,Hsiao-hsien Hou,157,9/4/1989
A Clockwork Orange,Stanley Kubrick,136,12/19/1971
A Colt Is My Passport,Takashi Nomura,84,1967
A Dry White Season,Euzhan Palcy,107,
A Few Good Men,Rob Reiner,138,12/9/1992
A Fish Called Wanda,Charles Crichton,108,7/7/1988
A Good Day to Die Hard,John Moore,98,2/7/2013
A Good Woman,Mike Barker,93,9/15/2004
