42,Brian Helgeland,128,4/12/2013
300,Zack Snyder,117,12/9/2006
360,Fernando Meirelles,110,9/9/2011
1408,Mikael Håfström,104,6/12/2007
1900,Bernardo Bertolucci,317,5/21/1976
1911,"Li Zhang, Jackie Chan",121,9/23/2011
1984,Michael Anderson,90,3/6/1956
2012,Roland Emmerich,158,11/11/2009
45365,"Bill Ross IV, Turner Ross",90,2009-03
¡Cuatro!,Tim Wheeler,75,
'I Know Where I'm Going!',"Michael Powell, Emeric Pressburger",91,11/16/1945
(500) Days of Summer,Marc Webb,95,1/17/2009
*batteries not included,Matthew Robbins,106,12/18/1987
100 Cameras,,15,2000
100 Feet,Eric Red,96,7/24/2008
11:14,Greg Marcks,86,5/16/2003
12 Angry Men,Sidney Lumet,96,4/10/1957
127 Hours,Danny Boyle,94,9/4/2010
